date,firstDose.daily.sinovac,firstDose.daily.biontech,firstDose.daily.total,firstDose.cumulative.sinovac,firstDose.cumulative.biontech,firstDose.cumulative.total,secondDose.daily.sinovac,secondDose.daily.biontech,secondDose.daily.total,secondDose.cumulative.sinovac,secondDose.cumulative.biontech,secondDose.cumulative.total,thirdDose.daily.sinovac,thirdDose.daily.biontech,thirdDose.daily.total,thirdDose.cumulative.sinovac,thirdDose.cumulative.biontech,thirdDose.cumulative.total,fourthDose.daily.sinovac,fourthDose.daily.biontech,fourthDose.daily.total,fourthDose.cumulative.sinovac,fourthDose.cumulative.biontech,fourthDose.cumulative.total,firstDose.movingAvg.sinovac,firstDose.movingAvg.total,firstDose.movingAvg.biontech,secondDose.movingAvg.sinovac,secondDose.movingAvg.total,secondDose.movingAvg.biontech,thirdDose.movingAvg.sinovac,thirdDose.movingAvg.total,thirdDose.movingAvg.biontech,fourthDose.movingAvg.sinovac,fourthDose.movingAvg.total,fourthDose.movingAvg.biontech,totalDose.daily.sinovac,totalDose.daily.biontech,totalDose.daily.total,totalDose.cumulative.sinovac,totalDose.cumulative.biontech,totalDose.cumulative.total,totalDose.movingAvg.sinovac,totalDose.movingAvg.biontech,totalDose.movingAvg.total
2022-03-30,2566,1365,3931,2815033,3699756,6514789,14486,4210,18696,2398181,3401052,5799233,6482,13428,19910,925757,1844293,2770050,3,13,16,90,207,297,2590,4454,1865,15040,20724,5684,6882,26988,20106,,,,23537,19016,42553,6139061,8945308,15084369,24518,27669,52187
2022-03-31,2873,1412,4285,2817906,3701168,6519074,13756,4032,17788,2411937,3405084,5817021,6278,15700,21978,932035,1859993,2792028,8,20,28,98,227,325,2559,4326,1766,14514,19898,5384,6650,25631,18981,,,,22915,21164,44079,6161976,8966472,15128448,23728,26146,49874
2022-04-01,2579,1555,4134,2820485,3702723,6523208,13263,4347,17610,2425200,3409431,5834631,5963,19438,25401,937998,1879431,2817429,3,8,11,101,235,336,2441,4090,1649,13552,18525,4974,6310,24376,18066,,,,21808,25348,47156,6183784,8991820,15175604,22308,24701,47009
2022-04-02,1947,1494,3441,2822432,3704217,6526649,12294,4619,16913,2437494,3414050,5851544,5086,19480,24566,943084,1898911,2841995,1,13,14,102,248,350,2377,3903,1526,13165,17783,4618,6058,23397,17339,,,,19328,25606,44934,6203112,9017426,15220538,21604,23496,45099
2022-04-03,1124,1105,2229,2823556,3705322,6528878,5827,3115,8942,2443321,3417165,5860486,2972,12759,15731,946056,1911670,2857726,1,11,12,103,259,362,2365,3808,1443,12938,17269,4331,5834,22178,16344,,,,9924,16990,26914,6213036,9034416,15247452,21140,22131,43271
2022-04-04,2650,1301,3951,2826206,3706623,6532829,12834,3644,16478,2456155,3420809,5876964,5630,12833,18463,951686,1924503,2876189,4,11,15,107,270,377,2351,3737,1387,12438,16551,4114,5568,21122,15554,,,,21118,17789,38907,6234154,9052205,15286359,20359,21067,41427
2022-04-05,750,856,1606,2826956,3707479,6534435,3127,2208,5335,2459282,3423017,5882299,1378,7637,9015,953064,1932140,2885204,0,5,5,107,275,382,2070,3368,1298,10798,14537,3739,4827,19295,14468,,,,5255,10706,15961,6239409,9062911,15302320,17698,19517,37215
2022-04-06,2454,1030,3484,2829410,3708509,6537919,11408,2950,14358,2470690,3425967,5896657,4657,10234,14891,957721,1942374,2900095,8,14,22,115,289,404,2054,3304,1250,10358,13918,3559,4566,18578,14012,,,,18527,14228,32755,6257936,9077139,15335075,16982,18833,35815
2022-04-07,2621,1007,3628,2832031,3709516,6541547,10804,2686,13490,2481494,3428653,5910147,5116,10856,15972,962837,1953230,2916067,14,11,25,129,300,429,2018,3210,1193,9937,13304,3367,4400,17720,13320,,,,18555,14560,33115,6276491,9091699,15368190,16359,17890,34249
2022-04-08,2921,1327,4248,2834952,3710843,6545795,12367,3395,15762,2493861,3432048,5925909,5498,13628,19126,968335,1966858,2935193,1428,2589,4017,1557,2889,4446,2067,3227,1160,9809,13040,3231,4334,16823,12490,,,,22214,20939,43153,6298705,9112638,15411343,16417,17260,33677
2022-04-09,2208,1360,3568,2837160,3712203,6549363,9615,3682,13297,2503476,3435730,5939206,4218,12897,17115,972553,1979755,2952308,2226,2952,5178,3783,5841,9624,2104,3245,1141,9426,12523,3097,4210,15759,11549,,,,18267,20891,39158,6316972,9133529,15450501,16266,16586,32852
2022-04-10,1275,1000,2275,2838435,3713203,6551638,4740,2606,7346,2508216,3438336,5946552,2285,8682,10967,974838,1988437,2963275,866,1286,2152,4649,7127,11776,2126,3251,1126,9271,12295,3024,4112,15078,10967,,,,9166,13574,22740,6326138,9147103,15473241,16157,16098,32256
2022-04-11,3486,1223,4709,2841921,3714426,6556347,9530,2990,12520,2517746,3441326,5959072,5018,9943,14961,979856,1998380,2978236,2097,2874,4971,6746,10001,16747,2245,3360,1115,8799,11730,2931,4024,14578,10554,,,,20131,17030,37161,6346269,9164133,15510402,16016,15990,32006
2022-04-12,3435,1245,4680,2845356,3715671,6561027,8327,2676,11003,2526073,3444002,5970075,4419,8596,13015,984275,2006976,2991251,1479,2053,3532,8225,12054,20279,2629,3799,1170,9542,12539,2998,4459,15150,10691,,,,17660,14570,32230,6363929,9178703,15542632,17789,16542,34330
2022-04-13,3946,1177,5123,2849302,3716848,6566150,7106,3103,10209,2533179,3447105,5980284,4077,10873,14950,988352,2017849,3006201,1248,1542,2790,9473,13596,23069,2842,4033,1191,8927,11947,3020,4376,15158,10782,,,,16377,16695,33072,6380306,9195398,15575704,17481,16894,34376
2022-04-14,4660,1515,6175,2853962,3718363,6572325,8482,4000,12482,2541661,3451105,5992766,5290,14535,19825,993642,2032384,3026026,2038,2459,4497,11511,16055,27566,3133,4397,1264,8595,11803,3207,4401,15708,11308,1626,3877,2251,20470,22509,42979,6400776,9217907,15618683,17755,18030,35785
2022-04-15,2484,1631,4115,2856446,3719994,6576440,3399,4028,7427,2545060,3455133,6000193,2622,14074,16696,996264,2046458,3042722,1449,2290,3739,12960,18345,31305,3071,4378,1307,7314,10612,3298,3990,15361,11371,1629,3837,2208,9954,22023,31977,6410730,9239930,15650660,16004,18185,34188
2022-04-16,1598,1302,2900,2858044,3721296,6579340,3031,3797,6828,2548091,3458930,6007021,2150,10438,12588,998414,2056896,3055310,964,1529,2493,13924,19874,33798,2983,4282,1299,6374,9688,3314,3694,14715,11020,1449,3453,2005,7743,17066,24809,6418473,9256996,15675469,14500,17638,32138
2022-04-17,1169,1176,2345,2859213,3722472,6581685,2462,3942,6404,2550553,3462872,6013425,1779,8115,9894,1000193,2065011,3065204,775,1195,1970,14699,21069,35768,2968,4292,1324,6048,9553,3505,3622,14561,10939,1436,3427,1992,6185,14428,20613,6424658,9271424,15696082,14074,17760,31834
2022-04-18,1366,1169,2535,2860579,3723641,6584220,2359,3122,5481,2552912,3465994,6018906,1693,6562,8255,1001886,2071573,3073459,881,1253,2134,15580,22322,37902,2665,3982,1316,5024,8548,3524,3147,13603,10456,1262,3022,1760,6299,12106,18405,6430957,9283530,15714487,12098,17057,29155
2022-04-19,3663,1297,4960,2864242,3724938,6589180,8282,3246,11528,2561194,3469240,6030434,4132,6996,11128,1006018,2078569,3084587,1965,1816,3781,17545,24138,41683,2698,4022,1324,5017,8623,3605,3106,13334,10228,1331,3058,1726,18042,13355,31397,6448999,9296885,15745884,12153,16883,29036
2022-04-20,3057,1292,4349,2867299,3726230,6593529,5806,2823,8629,2567000,3472063,6039063,3477,6293,9770,1009495,2084862,3094357,1587,1466,3053,19132,25604,44736,2571,3911,1340,4832,8397,3565,3020,12594,9573,1380,3095,1715,13927,11874,25801,6462926,9308759,15771685,11803,16194,27997
2022-04-21,2944,1335,4279,2870243,3727565,6597808,5050,2717,7767,2572050,3474780,6046830,3563,7370,10933,1013058,2092232,3105290,1412,1182,2594,20544,26786,47330,2326,3640,1315,4341,7723,3382,2774,11323,8550,1290,2823,1533,12969,12604,25573,6475895,9321363,15797258,10731,14779,25511
2022-04-22,3474,1428,4902,2873717,3728993,6602710,6609,4072,10681,2578659,3478852,6057511,3918,9009,12927,1016976,2101241,3118217,1477,1308,2785,22021,28094,50115,2467,3753,1286,4800,8188,3388,2959,10785,7826,1294,2687,1393,15478,15817,31295,6491373,9337180,15828553,11520,13893,25413
2022-04-23,2688,1564,4252,2876405,3730557,6606962,5388,5495,10883,2584047,3484347,6068394,3141,7812,10953,1020117,2109053,3129170,870,884,1754,22891,28978,51869,2623,3946,1323,5137,8768,3631,3100,10551,7451,1281,2582,1301,12087,15755,27842,6503460,9352935,15856395,12141,13706,25847
2022-04-24,1030,1033,2063,2877435,3731590,6609025,1889,3879,5768,2585936,3488226,6074162,1421,5296,6717,1021538,2114349,3135887,372,510,882,23263,29488,52751,2603,3906,1303,5055,8677,3622,3049,10098,7048,1223,2426,1203,4712,10718,15430,6508172,9363653,15871825,11931,13176,25106
2022-04-25,3058,1062,4120,2880493,3732652,6613145,4970,3020,7990,2590906,3491246,6082152,3553,6861,10414,1025091,2121210,3146301,1258,1163,2421,24521,30651,55172,2845,4132,1287,5428,9035,3607,3315,10406,7091,1277,2467,1190,12839,12106,24945,6521011,9375759,15896770,12865,13176,26040
2022-04-26,3081,1005,4086,2883574,3733657,6617231,4620,2906,7526,2595526,3494152,6089678,3153,5900,9053,1028244,2127110,3155354,1168,1036,2204,25689,31687,57376,2762,4007,1246,4905,8463,3559,3175,10110,6934,1163,2242,1078,12022,10847,22869,6533033,9386606,15919639,12005,12817,24822
2022-04-27,2828,935,3763,2886402,3734592,6620994,4318,2808,7126,2599844,3496960,6096804,2840,6176,9016,1031084,2133286,3164370,958,877,1835,26647,32564,59211,2729,3924,1195,4692,8249,3557,3084,10002,6918,1074,2068,994,10944,10796,21740,6543977,9397402,15941379,11579,12663,24242
2022-04-28,2659,1007,3666,2889061,3735599,6624660,4868,3547,8415,2604712,3500507,6105219,3664,10131,13795,1034748,2143417,3178165,835,918,1753,27482,33482,60964,2688,3836,1148,4666,8341,3675,3099,10411,7312,991,1948,957,12026,15603,27629,6556003,9413005,15969008,11444,13092,24536
2022-04-29,3448,1296,4744,2892509,3736895,6629404,6809,6591,13400,2611521,3507098,6118619,4102,11863,15965,1038850,2155280,3194130,1026,1130,2156,28508,34612,63120,2685,3813,1129,4695,8730,4035,3125,10845,7720,927,1858,931,15385,20880,36265,6571388,9433885,16005273,11431,13815,25246
2022-04-30,2240,1368,3608,2894749,3738263,6633012,6749,9984,16733,2618270,3517082,6135352,3540,11711,15251,1042390,2166991,3209381,620,1051,1671,29128,35663,64791,2621,3721,1101,4889,9565,4676,3182,11459,8277,891,1846,955,13149,24114,37263,6584537,9457999,16042536,11582,15009,26592
2022-05-01,806,927,1733,2895555,3739190,6634745,2563,7582,10145,2620833,3524664,6145497,2120,7727,9847,1044510,2174718,3219228,316,585,901,29444,36248,65692,2589,3674,1086,4985,10191,5205,3282,11906,8624,883,1849,966,5805,16821,22626,6590342,9474820,16065162,11739,15881,27620
2022-05-02,1035,632,1667,2896590,3739822,6636412,2227,4795,7022,2623060,3529459,6152519,1642,5328,6970,1046152,2180046,3226198,266,431,697,29710,36679,66389,2300,3324,1024,4593,10052,5459,3009,11414,8405,741,1602,861,5170,11186,16356,6595512,9486006,16081518,10643,15750,26393
2022-05-03,2375,786,3161,2898965,3740608,6639573,6586,4173,10759,2629646,3533632,6163278,4710,8151,12861,1050862,2188197,3239059,810,880,1690,30520,37559,68079,2199,3192,993,4874,10514,5640,3231,11958,8727,690,1529,839,14481,13990,28471,6609993,9499996,16109989,10994,16199,27193
2022-05-04,2454,720,3174,2901419,3741328,6642747,4797,3272,8069,2634443,3536904,6171347,4404,8054,12458,1055266,2196251,3251517,788,781,1569,31308,38340,69648,2145,3108,962,4943,10649,5706,3455,12450,8995,666,1491,825,12443,12827,25270,6622436,9512823,16135259,11208,16489,27697
2022-05-05,2148,835,2983,2903567,3742163,6645730,4441,3511,7952,2638884,3540415,6179299,5496,12141,17637,1060762,2208392,3269154,859,920,1779,32167,39260,71427,2072,3010,938,4882,10583,5701,3716,12998,9282,669,1495,825,12944,17407,30351,6635380,9530230,16165610,11340,16746,28086
2022-05-06,2640,1035,3675,2906207,3743198,6649405,5270,5855,11125,2644154,3546270,6190424,6073,15147,21220,1066835,2223539,3290374,699,1026,1725,32866,40286,73152,1957,2857,900,4662,10258,5596,3998,13749,9751,623,1433,811,14682,23063,37745,6650062,9553293,16203355,11239,17058,28297
2022-05-07,2146,977,3123,2908353,3744175,6652528,4441,7797,12238,2648595,3554067,6202662,5149,14856,20005,1071984,2238395,3310379,600,683,1283,33466,40969,74435,1943,2788,845,4332,9616,5284,4228,14428,10201,620,1378,758,12336,24313,36649,6662398,9577606,16240004,11123,17087,28210
2022-05-08,566,769,1335,2908919,3744944,6653863,1488,5820,7308,2650083,3559887,6209970,2795,11090,13885,1074779,2249485,3324264,233,473,706,33699,41442,75141,1909,2731,822,4179,9210,5032,4324,15005,10681,608,1350,742,5082,18152,23234,6667480,9595758,16263238,11020,17277,28297
2022-05-09,820,601,1421,2909739,3745545,6655284,1514,3089,4603,2651597,3562976,6214573,2831,8397,11228,1077610,2257882,3335492,291,513,804,33990,41955,75945,1878,2696,818,4077,8865,4788,4494,15613,11119,611,1365,754,5456,12600,18056,6672936,9608358,16281294,11061,17479,28539
2022-05-10,2397,660,3057,2912136,3746205,6658341,4609,2856,7465,2656206,3565832,6222038,8132,11449,19581,1085742,2269331,3355073,884,1031,1915,34874,42986,77860,1882,2681,800,3794,8394,4600,4983,16573,11591,622,1397,775,16022,15996,32018,6688958,9624354,16313312,11281,17765,29046
2022-05-11,1570,554,2124,2913706,3746759,6660465,2812,2237,5049,2659018,3568069,6227087,6046,9673,15719,1091788,2279004,3370792,610,696,1306,35484,43682,79166,1755,2531,776,3511,7963,4452,5217,17039,11822,597,1360,763,11038,13160,24198,6699996,9637514,16337510,11080,17813,28893
2022-05-12,1093,515,1608,2914799,3747274,6662073,2806,2215,5021,2661824,3570284,6232108,5985,12203,18188,1097773,2291207,3388980,610,754,1364,36094,44436,80530,1605,2335,730,3277,7544,4267,5287,17118,11831,561,1300,739,10494,15687,26181,6710490,9653201,16363691,10730,17567,28297
2022-05-13,1664,751,2415,2916463,3748025,6664488,3802,3692,7494,2665626,3573976,6239602,7541,16064,23605,1105314,2307271,3412585,744,792,1536,36838,45228,82066,1465,2155,690,3067,7025,3958,5497,17459,11962,567,1273,706,13751,21299,35050,6724241,9674500,16398741,10597,17315,27912
2022-05-14,2092,933,3025,2918555,3748958,6667513,3531,5626,9157,2669157,3579602,6248759,6056,15073,21129,1111370,2322344,3433714,522,643,1165,37360,45871,83231,1457,2141,683,2937,6585,3648,5627,17619,11993,556,1257,700,12201,22275,34476,6736442,9696775,16433217,10578,17024,27602
2022-05-15,515,601,1116,2919070,3749559,6668629,1286,3440,4726,2670443,3583042,6253485,3279,10972,14251,1114649,2333316,3447965,219,511,730,37579,46382,83961,1450,2109,659,2909,6216,3308,5696,17672,11976,554,1260,706,5299,15524,20823,6741741,9712299,16454040,10609,16649,27257
2022-05-16,1922,617,2539,2920992,3750176,6671168,2520,2090,4610,2672963,3585132,6258095,8310,12830,21140,1122959,2346146,3469105,1129,1267,2396,38708,47649,86357,1608,2269,662,3052,6217,3165,6478,19088,12609,674,1487,813,13881,16804,30685,6755622,9729103,16484725,11812,17249,29062
2022-05-17,1841,707,2548,2922833,3750883,6673716,3076,1861,4937,2676039,3586993,6263032,8706,11110,19816,1131665,2357256,3488921,1138,1175,2313,39846,48824,88670,1528,2196,668,2833,5856,3023,6560,19121,12561,710,1544,834,14761,14853,29614,6770383,9743956,16514339,11632,17086,28718
2022-05-18,1686,597,2283,2924519,3751480,6675999,2517,1759,4276,2678556,3588752,6267308,8160,11709,19869,1139825,2368965,3508790,949,1062,2011,40795,49886,90681,1545,2219,674,2791,5746,2955,6862,19714,12852,759,1645,886,13312,15127,28439,6783695,9759083,16542778,11957,17367,29324
2022-05-19,1645,601,2246,2926164,3752081,6678245,2975,1774,4749,2681531,3590526,6272057,8442,14076,22518,1148267,2383041,3531308,827,957,1784,41622,50843,92465,1624,2310,687,2815,5707,2892,7213,20333,13119,790,1705,915,13889,17408,31297,6797584,9776491,16574075,12442,17613,30055
2022-05-20,2146,792,2938,2928310,3752873,6681183,4307,3564,7871,2685838,3594090,6279928,10396,20322,30718,1158663,2403363,3562026,988,1099,2087,42610,51942,94552,1692,2385,693,2887,5761,2873,7621,21349,13727,825,1784,959,17837,25777,43614,6815421,9802268,16617689,13026,18253,31278
2022-05-21,1619,740,2359,2929929,3753613,6683542,3691,4298,7989,2689529,3598388,6287917,8404,20659,29063,1167067,2424022,3591089,707,1158,1865,43317,53100,96417,1625,2290,665,2910,5594,2684,7957,22482,14525,851,1884,1033,14421,26855,41276,6829842,9829123,16658965,13343,18907,32250
2022-05-22,575,676,1251,2930504,3754289,6684793,1346,2840,4186,2690875,3601228,6292103,4711,15557,20268,1171778,2439579,3611357,415,933,1348,43732,54033,97765,1633,2309,676,2919,5517,2598,8161,23342,15180,879,1972,1093,7047,20006,27053,6836889,9849129,16686018,13593,19547,33140
2022-05-23,1844,690,2534,2932348,3754979,6687327,3513,1418,4931,2694388,3602646,6297034,11039,16675,27714,1182817,2456254,3639071,1056,1326,2382,44788,55359,100147,1622,2308,686,3061,5563,2502,8551,24281,15730,869,1970,1101,17452,20109,37561,6854341,9869238,16723579,14103,20019,34122
2022-05-24,1510,550,2060,2933858,3755529,6689387,3029,1318,4347,2697417,3603964,6301381,9233,14302,23535,1192050,2470556,3662606,700,788,1488,45488,56147,101635,1575,2239,664,3054,5478,2424,8626,24812,16186,806,1852,1046,14472,16958,31430,6868813,9886196,16755009,14061,20320,34381
2022-05-25,1273,580,1853,2935131,3756109,6691240,3047,1398,4445,2700464,3605362,6305826,8898,15126,24024,1200948,2485682,3686630,607,774,1381,46095,56921,103016,1516,2177,661,3130,5503,2373,8732,25406,16674,757,1762,1005,13825,17878,31703,6882638,9904074,16786712,14135,20713,34848
2022-05-26,1179,523,1702,2936310,3756632,6692942,3281,1438,4719,2703745,3606800,6310545,10602,19372,29974,1211550,2505054,3716604,683,742,1425,46778,57663,104441,1449,2100,650,3173,5498,2325,9040,26471,17430,737,1711,974,15745,22075,37820,6898383,9926149,16824532,14400,21380,35780
2022-05-27,1526,706,2232,2937836,3757338,6695174,3491,2815,6306,2707236,3609615,6316851,12344,25528,37872,1223894,2530582,3754476,669,850,1519,47447,58513,105960,1361,1999,638,3057,5275,2218,9319,27493,18174,691,1630,939,18030,29899,47929,6916413,9956048,16872461,14427,21969,36396
2022-05-28,1243,720,1963,2939079,3758058,6697137,3580,3540,7120,2710816,3613155,6323971,11806,27142,38948,1235700,2557724,3793424,635,606,1241,48082,59119,107201,1307,1942,635,3041,5151,2110,9805,28905,19100,681,1541,860,17264,32008,49272,6933677,9988056,16921733,14834,22705,37538
2022-05-29,429,619,1048,2939508,3758677,6698185,1255,2307,3562,2712071,3615462,6327533,7205,25447,32652,1242905,2583171,3826076,424,540,964,48506,59659,108165,1286,1913,627,3028,5061,2033,10161,30674,20513,682,1486,804,9313,28913,38226,6942990,10016969,16959959,15157,23977,39134
2022-05-30,1385,570,1955,2940893,3759247,6700140,3434,1417,4851,2715505,3616879,6332384,20145,31362,51507,1263050,2614533,3877583,783,883,1666,49289,60542,109831,1221,1830,610,3017,5050,2033,11462,34073,22611,643,1383,740,25747,34232,59979,6968737,10051201,17019938,16342,25995,42337
2022-05-31,1251,574,1825,2942144,3759821,6701965,3463,1451,4914,2718968,3618330,6337298,21046,33537,54583,1284096,2648070,3932166,713,675,1388,50002,61217,111219,1184,1797,613,3079,5131,2052,13149,38509,25359,645,1369,724,26473,36237,62710,6995210,10087438,17082648,18057,28749,46806
2022-06-01,1423,546,1969,2943567,3760367,6703934,2899,1140,4039,2721867,3619470,6341337,12651,18563,31214,1296747,2666633,3963380,653,623,1276,50655,61840,112495,1205,1813,608,3058,5073,2015,13686,39536,25850,651,1354,703,17626,20872,38498,7012836,10108310,17121146,18600,29177,47776
2022-06-02,1773,867,2640,2945340,3761234,6706574,3584,1988,5572,2725451,3621458,6346909,11012,18387,29399,1307759,2685020,3992779,664,691,1355,51319,62531,113850,1290,1947,657,3101,5195,2094,13744,39454,25709,649,1344,695,17033,21933,38966,7029869,10130243,17160112,18784,29156,47940
2022-06-03,596,819,1415,2945936,3762053,6707989,1568,2010,3578,2727019,3623468,6350487,4419,14510,18929,1312178,2699530,4011708,294,482,776,51613,63013,114626,1157,1831,674,2826,4805,1979,12612,36747,24135,595,1238,643,6877,17821,24698,7036746,10148064,17184810,17190,27431,44621
2022-06-04,1252,858,2110,2947188,3762911,6710099,3123,2578,5701,2730142,3626046,6356188,7643,20750,28393,1319821,2720280,4040101,596,779,1375,52209,63792,116001,1158,1852,693,2761,4602,1842,12017,35240,23222,590,1257,668,12614,24965,37579,7049360,10173029,17222389,16526,26425,42951
2022-06-05,420,703,1123,2947608,3763614,6711222,953,1780,2733,2731095,3627826,6358921,3662,15861,19523,1323483,2736141,4059624,358,647,1005,52567,64439,117006,1157,1862,705,2718,4484,1766,11511,33364,21853,580,1263,683,5393,18991,24384,7054753,10192020,17246773,15966,25007,40973
2022-06-06,1136,661,1797,2948744,3764275,6713019,3111,1329,4440,2734206,3629155,6363361,7675,11394,19069,1331158,2747535,4078693,835,909,1744,53402,65348,118750,1122,1840,718,2672,4425,1754,9730,28730,19000,588,1274,687,12757,14293,27050,7067510,10206313,17273823,14110,22159,36269
2022-06-07,885,471,1356,2949629,3764746,6714375,2354,1025,3379,2736560,3630180,6366740,6609,8414,15023,1337767,2755949,4093716,748,747,1495,54150,66095,120245,1069,1773,704,2513,4206,1693,7667,23079,15411,593,1289,697,10596,10657,21253,7078106,10216970,17295076,11842,18505,30347
2022-06-08,802,438,1240,2950431,3765184,6715615,2118,945,3063,2738678,3631125,6369803,5508,6653,12161,1343275,2762602,4105877,574,748,1322,54724,66843,121567,981,1669,688,2402,4067,1665,6647,20357,13710,581,1296,715,9002,8784,17786,7087108,10225754,17312862,10610,16778,27388
2022-06-09,747,475,1222,2951178,3765659,6716837,2024,1055,3079,2740702,3632180,6372882,7129,6283,13412,1350404,2768885,4119289,1167,661,1828,55891,67504,123395,834,1466,632,2179,3710,1532,6092,18073,11981,653,1364,710,11067,8474,19541,7098175,10234228,17332403,9758,14855,24613
2022-06-10,1567,649,2216,2952745,3766308,6719053,3509,1797,5306,2744211,3633977,6378188,8934,7980,16914,1359338,2776865,4136203,799,790,1589,56690,68294,124984,973,1581,608,2456,3957,1501,6737,17785,11048,725,1480,754,14809,11216,26025,7112984,10245444,17358428,10891,13911,24803
2022-06-11,1387,758,2145,2954132,3767066,6721198,3695,2552,6247,2747906,3636529,6384435,7128,9651,16779,1366466,2786516,4152982,612,847,1459,57302,69141,126443,992,1586,594,2538,4035,1498,6664,16126,9462,728,1492,764,12822,13808,26630,7125806,10259252,17385058,10921,12318,23238
2022-06-12,395,535,930,2954527,3767601,6722128,1105,1511,2616,2749011,3638040,6387051,3018,6056,9074,1369484,2792572,4162056,376,633,1009,57678,69774,127452,988,1558,570,2559,4019,1459,6572,14633,8062,730,1492,762,4894,8735,13629,7130700,10267987,17398687,10850,10852,21702
2022-06-13,1219,495,1714,2955746,3768096,6723842,3693,1137,4830,2752704,3639177,6391881,8720,5472,14192,1378204,2798044,4176248,877,881,1758,58555,70655,129210,1000,1546,546,2643,4074,1432,6721,13936,7216,736,1494,758,14509,7985,22494,7145209,10275972,17421181,11100,9951,21051
2022-06-14,1026,380,1406,2956772,3768476,6725248,3118,948,4066,2755822,3640125,6395947,7822,4299,12121,1386026,2802343,4188369,697,691,1388,59252,71346,130598,1020,1553,533,2752,4172,1421,6894,13522,6628,729,1479,750,12663,6318,18981,7157872,10282290,17440162,11395,9331,20727
2022-06-15,954,403,1357,2957726,3768879,6726605,2878,984,3862,2758700,3641109,6399809,7724,4593,12317,1393750,2806936,4200686,869,818,1687,60121,72164,132285,1042,1570,528,2860,4287,1426,7211,13544,6333,771,1531,760,12425,6798,19223,7170297,10289088,17459385,11884,9048,20932
2022-06-16,1116,418,1534,2958842,3769297,6728139,3655,1113,4768,2762355,3642222,6404577,8171,4520,12691,1401921,2811456,4213377,772,858,1630,60893,73022,133915,1095,1615,520,3093,4528,1435,7360,13441,6082,715,1503,788,13714,6909,20623,7184011,10295997,17480008,12262,8824,21086
2022-06-17,1388,581,1969,2960230,3769878,6730108,4146,1503,5649,2766501,3643725,6410226,9193,5641,14834,1411114,2817097,4228211,886,901,1787,61779,73923,135702,1069,1579,510,3184,4577,1393,7397,13144,5747,727,1531,804,15613,8626,24239,7199624,10304623,17504247,12377,8454,20831
2022-06-18,1045,671,1716,2961275,3770549,6731824,3434,1934,5368,2769935,3645659,6415594,7222,6392,13614,1418336,2823489,4241825,691,846,1537,62470,74769,137239,1020,1518,498,3147,4451,1304,7410,12692,5282,738,1542,804,12392,9843,22235,7212016,10314466,17526482,12316,7888,20203
2022-06-19,249,420,669,2961524,3770969,6732493,1078,1116,2194,2771013,3646775,6417788,2500,3934,6434,1420836,2827423,4248259,342,633,975,62812,75402,138214,1000,1481,481,3143,4391,1248,7336,12315,4979,733,1537,804,4169,6103,10272,7216185,10320569,17536754,12212,7512,19724
2022-06-20,1046,411,1457,2962570,3771380,6733950,3621,944,4565,2774634,3647719,6422353,7590,4116,11706,1428426,2831539,4259965,783,884,1667,63595,76286,139881,975,1444,469,3133,4353,1220,7175,11960,4785,720,1524,804,13040,6355,19395,7229225,10326924,17556149,12002,7279,19281
2022-06-21,774,334,1108,2963344,3771714,6735058,2572,767,3339,2777206,3648486,6425692,6998,3346,10344,1435424,2834885,4270309,756,725,1481,64351,77011,141362,939,1401,463,3055,4249,1194,7057,11706,4649,728,1538,809,11100,5172,16272,7240325,10332096,17572421,11779,7115,18894
2022-06-22,649,277,926,2963993,3771991,6735984,2309,623,2932,2779515,3649109,6428624,6698,3150,9848,1442122,2838035,4280157,595,775,1370,64946,77786,142732,895,1340,445,2974,4116,1143,6910,11353,4443,689,1492,803,10251,4825,15076,7250576,10336921,17587497,11468,6833,18302
2022-06-23,847,321,1168,2964840,3772312,6737152,2740,685,3425,2782255,3649794,6432049,7166,3343,10509,1449288,2841378,4290666,662,638,1300,65608,78424,144032,857,1288,431,2843,3925,1082,6767,11041,4275,674,1445,772,11415,4987,16402,7261991,10341908,17603899,11140,6559,17699
2022-06-24,897,454,1351,2965737,3772766,6738503,3028,864,3892,2785283,3650658,6435941,7748,4122,11870,1457036,2845500,4302536,734,831,1565,66342,79255,145597,787,1199,413,2683,3674,990,6560,10618,4058,652,1414,762,12407,6271,18678,7274398,10348179,17622577,10682,6222,16904
2022-06-25,854,502,1356,2966591,3773268,6739859,2909,1339,4248,2788192,3651997,6440189,6750,4668,11418,1463786,2850168,4313954,632,831,1463,66974,80086,147060,759,1148,388,2608,3514,905,6493,10304,3811,643,1403,760,11145,7340,18485,7285543,10355519,17641062,10504,5865,16369
2022-06-26,245,267,512,2966836,3773535,6740371,928,844,1772,2789120,3652841,6441961,2401,2982,5383,1466187,2853150,4319337,398,535,933,67372,80621,147993,759,1125,367,2587,3453,867,6479,10154,3675,651,1397,746,3972,4628,8600,7289515,10360147,17649662,10476,5654,16130
2022-06-27,706,260,966,2967542,3773795,6741337,2478,627,3105,2791598,3653468,6445066,7021,3052,10073,1473208,2856202,4329410,685,811,1496,68057,81432,149489,710,1055,345,2423,3245,821,6397,9921,3523,637,1373,735,10890,4750,15640,7300405,10364897,17665302,10169,5425,15593
