age_group,population,firstDose.sinovac,firstDose.biontech,firstDose.total,secondDose.sinovac,secondDose.biontech,secondDose.total,thirdDose.sinovac,thirdDose.biontech,thirdDose.total
Aged 3-11,502600,296641,89142,385783,240691,64089,304780,21636,161,21797
Aged 12-19,447300,66556,379129,445685,64205,354856,419061,30976,165859,196835
Aged 20-29,771900,142340,618702,761042,136717,601317,738034,81545,421986,503531
Aged 30-39,1094500,298321,795321,1093642,286485,777411,1063896,162402,587571,749973
Aged 40-49,1160300,467214,697289,1164503,455206,688940,1144146,277686,611469,889155
Aged 50-59,1191300,578682,575331,1154013,564544,567544,1132088,348251,537913,886164
Aged 60-69,1122100,583142,408645,991787,563944,401941,965885,354438,394359,748797
Aged 70-79,591300,326063,159123,485186,313370,155981,469351,197164,151936,349100
Aged 80 and above,398200,220938,56626,277564,204266,53985,258251,104860,45718,150578
